time,LT
1.393,335
1.394,329
1.395,324
1.396,322
1.397,322
1.398,321
1.399,323
1.4,321
1.401,318
1.402,316
1.403,313
1.404,314
1.405,316
1.406,320
1.407,326
1.408,330
1.409,323
1.41,322
1.411,319
1.412,314
1.413,310
1.414,310
1.415,317
1.416,324
1.417,330
1.418,332
1.419,330
1.42,332
1.421,332
1.422,329
1.423,329
1.424,326
1.425,321
1.426,323
1.427,326
1.428,332
1.429,334
1.43,331
1.431,331
1.432,326
1.433,321
1.434,323
1.435,320
1.436,315
1.437,314
1.438,314
1.439,314
1.44,313
1.441,310
1.442,312
1.443,316
1.444,316
1.445,317
1.446,316
1.447,316
1.448,317
1.449,318
1.45,324
1.451,326
1.452,323
1.453,323
1.454,320
1.455,321
1.456,321
1.457,320
1.458,320
1.459,322
1.46,325
1.461,327
1.462,326
1.463,322
1.464,321
1.465,320
1.466,320
1.467,316
1.468,321
1.469,327
1.47,327
1.471,328
1.472,326
1.473,323
1.474,323
1.475,323
1.476,323
1.477,324
1.478,325
1.479,322
1.48,320
1.481,315
1.482,312
1.483,315
1.484,314
1.485,317
1.486,326
1.487,330
1.488,329
1.489,325
1.49,319
1.491,317
1.492,321
1.493,320
1.494,317
1.495,322
1.496,327
1.497,325
1.498,326
1.499,325
1.5,320
1.501,317
1.502,315
1.503,315
1.504,317
1.505,318
1.506,320
1.507,325
1.508,325
1.509,326
1.51,325
1.511,325
1.512,322
1.513,321
1.514,320
1.515,320
1.516,322
1.517,323
1.518,325
1.519,323
1.52,324
1.521,325
1.522,326
1.523,330
1.524,327
1.525,322
1.526,326
1.527,329
1.528,328
1.529,326
1.53,325
1.531,325
1.532,324
1.533,323
1.534,325
1.535,325
1.536,323
1.537,322
1.538,318
1.539,316
1.54,319
1.541,326
1.542,330
1.543,333
1.544,327
1.545,319
1.546,315
1.547,315
1.548,315
1.549,315
1.55,319
1.551,317
1.552,318
1.553,321
1.554,324
1.555,328
1.556,325
1.557,321
1.558,314
1.559,314
1.56,318
1.561,314
1.562,316
1.563,315
1.564,322
1.565,324
1.566,325
1.567,323
1.568,319
1.569,316
1.57,314
1.571,313
1.572,316
1.573,318
1.574,318
1.575,320
1.576,321
1.577,324
1.578,328
1.579,331
1.58,332
1.581,333
1.582,327
1.583,322
1.584,324
1.585,329
1.586,327
1.587,327
1.588,331
1.589,331
1.59,326
1.591,324
1.592,322
1.593,321
1.594,318
1.595,318
1.596,320
1.597,319
1.598,320
1.599,321
1.6,323
1.601,320
1.602,318
1.603,317
1.604,319
